13.05,01:00,CS:GO. ESL,Illuminar Gaming,AVEZ,П1,1.51,П2,2.34
13.05,01:00,CS:GO. ESL,ONE One,Fwrd,П1,2.87,П2,1.35
13.05,02:00,CS:GO. ESL,Reunie,Sector One,П1,1.69,П2,2.02
13.05,02:00,CS:GO. ESL,ONE One Esport,Amsterdam Kings,П1,3.23,П2,1.28
13.05,21:00,CS:GO. Finnish Esports League,HAVU Gaming,Team Crazycoco,П1,1.11,П2,5.4
13.05,21:00,CS:GO. Finnish Esports League,ajuri,Veto Esports,П1,2.23,П2,1.56
13.05,21:00,CS:GO. Finnish Esports League,Conquer Gaming,Hreds,П1,1.99,П2,1.71
13.05,23:00,CS:GO. Finnish Esports League,Conquer Gaming,SJ Gaming,П1,3.27,П2,1.28
12.05,14:50,CS:GO. Home Sweet Home Cup,Hard Legion Esports,ALTERNATE aTTaX,П1,1.62,П2,2.1
12.05,16:20,CS:GO. Home Sweet Home Cup,Ambush,Salamander,П1,2.38,П2,1.49
12.05,16:55,CS:GO. LOOTBET League,Heroic,Gambit Youngsters,П1,1.41,П2,2.63
13.05,23:45,CS:GO. LVP Assault Division,x6tence Black,Dogmination,П1,2.43,П2,1.48
13.05,01:00,CS:GO. LVP Unity League,eXploit Esports,Tenerife Titans,П1,2.53,П2,1.44
13.05,02:00,CS:GO. LVP Unity League,QLASH,S2V Esports,П1,5.47,П2,1.1
14.05,01:00,CS:GO. LVP Unity League,Wygers,FOR The Win Esports,П1,1.26,П2,3.41
14.05,02:00,CS:GO. LVP Unity League,KPI Gaming,Team Heretics,П1,4.7,П2,1.14
12.05,18:00,CS:GO. Maopea Streamers Challenge,Let's Quit,OB,П1,2.16,П2,1.6
14.05,02:00,CS:GO. Master League Portugal,Galatics Esports Club,Baecon Gaming Group,П1,6.1,П2,1.08
12.05,22:30,CS:GO. SECTOR: MOSTBET,Team LDLC,Natus Vincere Junior,П1,1.55,П2,2.26
12.05,23:00,CS:GO. Svenska Elitserien,Lilmix,Benimobroderna,П1,1.06,П2,6.83
12.05,23:00,CS:GO. Svenska Elitserien,Vinkelparty,Prima eSport,П1,2.99,П2,1.33
13.05,00:00,CS:GO. Svenska Elitserien,soyboysxP,Begrip Gaming,П1,4.29,П2,1.17
13.05,01:00,CS:GO. Svenska Elitserien,GoBananas,Sons of Lennart,П1,2.59,П2,1.42
13.05,01:00,CS:GO. Svenska Elitserien,Tikitakan,Mygame Esports,П1,1.95,П2,1.74
14.05,00:00,CS:GO. Svenska Elitserien,Fightclub,flisk,П1,1.24,П2,3.57
14.05,01:00,CS:GO. Svenska Elitserien,Begrip Gaming,Vinkelparty,П1,2.35,П2,1.51
15.05,00:00,CS:GO. Svenska Elitserien,Sons of Lennart,soyboysxP,П1,1.15,П2,4.62
15.05,00:00,CS:GO. Svenska Elitserien,Mygame Esports,Lotb,П1,1.42,П2,2.59
15.05,01:00,CS:GO. Svenska Elitserien,Fightclub,GoBananas,П1,1.3,П2,3.13
15.05,01:00,CS:GO. Svenska Elitserien,flisk,Tikitakan,П1,2.18,П2,1.59
13.05,14:00,Dota 2. China Development League,iG Vitality,LGD.International,П1,1.87,П2,1.8
19.05,17:00,Dota 2. China Development League,Aster.Aries,Vici Gaming Potential,П1,1.42,П2,2.59
14.05,14:00,Dota 2. China Pro League,Invictus Gaming,CDEC Gaming,П1,1.41,П2,2.63
14.05,17:00,Dota 2. China Pro League,Sparking Arrow Gaming,CDEC Gaming,П1,2.07,П2,1.65
15.05,17:00,Dota 2. China Pro League,Newbee,Team Aster,П1,2.71,П2,1.39
16.05,17:00,Dota 2. China Pro League,PSG.LGD,CDEC Gaming,П1,1.42,П2,2.6
17.05,14:00,Dota 2. China Pro League,Vici Gaming,Invictus Gaming,П1,1.64,П2,2.09
17.05,17:00,Dota 2. China Pro League,PSG.LGD,EHOME,П1,1.42,П2,2.6
12.05,15:00,Dota 2. Cyber Cup,Cignal Ultra,Team CR,П1,1.94,П2,1.74
12.05,18:00,Dota 2. Cyber Cup,T1 Gaming,Team CR,П1,1.84,П2,1.84
13.05,09:00,Dota 2. Cyber Cup,Geek Fam,Cignal Ultra,П1,1.12,П2,5.19
13.05,12:00,Dota 2. Cyber Cup,Neon Esports,Execration,П1,1.22,П2,3.75
13.05,15:00,Dota 2. Cyber Cup,Execration,496 Gaming,П1,1.87,П2,1.8
13.05,18:00,Dota 2. Cyber Cup,LGD.International,496 Gaming,П1,1.25,П2,3.48
12.05,17:00,Dota 2. DPL-CDA Professional League,Invictus Gaming,NewBee,П1,1.23,П2,3.64
13.05,14:00,Dota 2. DPL-CDA Professional League,Royal Never Give Up,Keen Gaming,П1,1.06,П2,7
13.05,17:00,Dota 2. DPL-CDA Professional League,Vici Gaming,Sparking Arrow Gaming,П1,1.35,П2,2.88
14.05,14:00,Dota 2. DPL-CDA Professional League,EHOME,Keen Gaming,П1,1.07,П2,6.35
14.05,17:00,Dota 2. DPL-CDA Professional League,NewBee,PSG.LGD,П1,4.84,П2,1.13
15.05,14:00,Dota 2. DPL-CDA Professional League,Invictus Gaming,Team Aster,П1,1.63,П2,2.11
15.05,17:00,Dota 2. DPL-CDA Professional League,Keen Gaming,PSG.LGD,П1,8,П2,1.04
